time_s,pto_emitter_v,crystal_q89_3_drain_v
9.277397956437e-05,1.816357850057e+00,7.743538498273e+00
9.277597956437e-05,1.834334171514e+00,7.743302735224e+00
9.277797956437e-05,1.851726016130e+00,7.743081980222e+00
9.277997956437e-05,1.868457713429e+00,7.742878214440e+00
9.278197956437e-05,1.884456465185e+00,7.742693206663e+00
9.278397956437e-05,1.899652662155e+00,7.742528499257e+00
9.278597956437e-05,1.913980186947e+00,7.742385397780e+00
9.278797956437e-05,1.927376701687e+00,7.742264964260e+00
9.278997956437e-05,1.939783919251e+00,7.742168014058e+00
9.279197956437e-05,1.951147856864e+00,7.742095116219e+00
9.279397956437e-05,1.961419070975e+00,7.742046597114e+00
9.279597956437e-05,1.970552872384e+00,7.742022547170e+00
9.279797956437e-05,1.978509520679e+00,7.742022830378e+00
9.279997956437e-05,1.985254397141e+00,7.742047096276e+00
9.280197956437e-05,1.990758155374e+00,7.742094794018e+00
9.280397956437e-05,1.994996848980e+00,7.742165188121e+00
9.280597956437e-05,1.997952035756e+00,7.742257375437e+00
9.280797956437e-05,1.999610857930e+00,7.742370302898e+00
9.280997956437e-05,1.999966098102e+00,7.742502785533e+00
9.281197956437e-05,1.999016210654e+00,7.742653524294e+00
9.281397956437e-05,1.996765328465e+00,7.742821123213e+00
9.281597956437e-05,1.993223244939e+00,7.743004105475e+00
9.281797956437e-05,1.988405371387e+00,7.743200928001e+00
9.281997956437e-05,1.982332669977e+00,7.743409994248e+00
9.282197956437e-05,1.975031562529e+00,7.743629664981e+00
9.282397956437e-05,1.966533815557e+00,7.743858266891e+00
9.282597956437e-05,1.956876402053e+00,7.744094099052e+00
9.282797956437e-05,1.946101340623e+00,7.744335437328e+00
9.282997956437e-05,1.934255512665e+00,7.744580536966e+00
9.283197956437e-05,1.921390458395e+00,7.744827633770e+00
9.283397956437e-05,1.907562152597e+00,7.745074944321e+00
9.283597956437e-05,1.892830761083e+00,7.745320665862e+00
9.283797956437e-05,1.877260378916e+00,7.745562976493e+00
9.283997956437e-05,1.860918751537e+00,7.745800036409e+00
9.284197956437e-05,1.843876980014e+00,7.746029990843e+00
9.284397956437e-05,1.826209211680e+00,7.746250975411e+00
9.284597956437e-05,1.807992317530e+00,7.746461124373e+00
9.284797956437e-05,1.789305557762e+00,7.746658582242e+00
9.284997956437e-05,1.770230236916e+00,7.746841518952e+00
9.285197956437e-05,1.750849350132e+00,7.747008148605e+00
9.285397956437e-05,1.731247222042e+00,7.747156751559e+00
9.285597956437e-05,1.711509139880e+00,7.747285699427e+00
9.285797956437e-05,1.691720982404e+00,7.747393482291e+00
9.285997956437e-05,1.671968846248e+00,7.747478737297e+00
9.286197956437e-05,1.652338671317e+00,7.747540277613e+00
9.286397956437e-05,1.632915866876e+00,7.747577120696e+00
9.286597956437e-05,1.613784939936e+00,7.747588514727e+00
9.286797956437e-05,1.595029127573e+00,7.747573962190e+00
9.286997956437e-05,1.576730034773e+00,7.747533239592e+00
9.287197956437e-05,1.558967279370e+00,7.747466412522e+00
9.287397956437e-05,1.541818145642e+00,7.747373845410e+00
9.287597956437e-05,1.525357248046e+00,7.747256205567e+00
9.287797956437e-05,1.509656206583e+00,7.747114461287e+00
9.287997956437e-05,1.494783335183e+00,7.746949874055e+00
9.288197956437e-05,1.480803344476e+00,7.746763985041e+00
9.288397956437e-05,1.467777060243e+00,7.746558596306e+00
9.288597956437e-05,1.455761158766e+00,7.746335747240e+00
9.288797956437e-05,1.444807920236e+00,7.746097686891e+00
9.288997956437e-05,1.434965001286e+00,7.745846842906e+00
9.289197956437e-05,1.426275227640e+00,7.745585787872e+00
9.289397956437e-05,1.418776407782e+00,7.745317203813e+00
9.289597956437e-05,1.412501168457e+00,7.745043845647e+00
9.289797956437e-05,1.407476812710e+00,7.744768504307e+00
9.289997956437e-05,1.403725201096e+00,7.744493971164e+00
9.290197956437e-05,1.401262656567e+00,7.744223003742e+00
9.290397956437e-05,1.400099893449e+00,7.743958290156e+00
9.290597956437e-05,1.400241970828e+00,7.743702400819e+00
9.290797956437e-05,1.401688270539e+00,7.743457783134e+00
9.290997956437e-05,1.404432499849e+00,7.743226740964e+00
9.291197956437e-05,1.408462718846e+00,7.743011387541e+00
9.291397956437e-05,1.413761392380e+00,7.742813635165e+00
9.291597956437e-05,1.420305466363e+00,7.742635178756e+00
9.291797956437e-05,1.428066468071e+00,7.742477483008e+00
